ID,NAME,us_city,us_state_code,SOURCE
STO,"STOCKTON, CA (BPS)",STOCKTON,CA,Udacity
STR,"Santa Teresa, NM",Santa Teresa,NM,State Department
STT,"ST THOMAS, VI",ST THOMAS,VI,Udacity
STZ,"St. Zacharie, ME",St. Zacharie,ME,State Department
SUM,"Sumas, WA",Sumas,WA,State Department
SUS,No PORT Code (SUS),,,Udacity
SVC,"GRANT COUNTY - SILVER CITY, MN",SILVER CITY,MN,Udacity
SWB,"SWANTON, VT (BP - SECTOR HQ)",SWANTON,VT,Udacity
SWE,"Sweetgrass, MT",Sweetgrass,MT,State Department
SWF,"STEWART - ORANGE CNTY, NY",New Windsor,NY,Udacity
SYR,"Syracuse, NY",Syracuse,NY,State Department
SYS,"San Ysidro, CA",San Ysidro,CA,State Department
T01,Collapsed (SEA) 06/15,Seattle,WA,Udacity
TAC,"Tacoma, WA",Tacoma,WA,State Department
TAM,"Tampa, FL",Tampa,FL,State Department
TEC,"Tecate, CA",Tecate,CA,State Department
THO,"Thousand Islands Bridge, NY",Alexandria Bay,NY,State Department
TIW,No PORT Code (TIW),,,Udacity
TKI,"TOKEEN, AK",TOKEEN,AK,Udacity
TOK,"TOROKINA #ARPT, PAPUA, NEW GUINEA",,,Udacity
TOL,"Toledo, OH",Toledo,OH,State Department
TOR,"Toronto, Ontario Canada",,,State Department
TRI,"TRI CITY ARPT, TN",Blountville,TN,Udacity
TRL,"Trail Creek, MT",Trail Creek,MT,State Department
TRO,"Trout River, NY",Trout River,NY,State Department
TRV,"Travis AFB, CA",Fairfield,CA,State Department
TST,"NEWINGTON DATA CENTER TEST, CT",Newington,CT,Udacity
TUC,"Tucson, AZ",Tucson,AZ,State Department
TUL,"TULSA, OK",TULSA,OK,Udacity
TUR,"Turner, MT",Turner,MT,State Department
TYS,"MC GHEE TYSON - ALCOA, TN",ALCOA,TN,Udacity
UGN,"MEMORIAL - WAUKEGAN, IL",WAUKEGAN,IL,Udacity
UIO,"QUITO (MARISCAL SUCR), ECUADOR",,,Udacity
UNK,UNKNOWN POE,,,Udacity
VAN,"Vancouver, WA",Vancouver,WA,State Department
VCB,"Vanceboro, ME",Vanceboro,ME,State Department
VCV,"Vancouver, BC Canada",,,State Department
VER,"VERACRUZ, MEXICO",,,Udacity
VIB,Veterans International Bridge,Brownsville,TX,State Department
VIC,"Victoria, BC",Victoria,BC,State Department
VMB,Collapsed (VNB) 06/15,Van Buren,ME,Udacity
VNB,"Van Buren, ME",Van Buren,ME,State Department
VNY,"VAN NUYS, CA",VAN NUYS,CA,Udacity
VQS,"VIEQUES-ARPT, PR",VIEQUES,PR,Udacity
W55,No PORT Code (W55),,,Udacity
WA5,No PORT Code (WAS),,,Udacity
WAL,"Walhalla, ND",Walhalla,ND,State Department
WAR,"Warroad, MN",Warroad,MN,State Department
WAS,"Washington, DC",Washington,DC,State Department
WAT,"WATERTOWN, NY",WATERTOWN,NY,Udacity
WBE,"West Berkshire, VT",West Berkshire,VT,State Department
WCM,"Willow Creek, MT",Willow Creek,MT,State Department
WHI,"Whitetail, MT",Whitetail,MT,State Department
WHM,"Wildhorse, MT",Wildhorse,MT,State Department
WHO,"Westhope, ND",Westhope,ND,State Department
WHR,Whirlpool Bridge,Niagara Falls,NY,State Department
WHT,"Whitlash, MT",Whitlash,MT,State Department
WIL,"Wilmington, NC",Wilmington,NC,State Department
WIN,"Winnipeg, SK. Canada",,,State Department
WLL,"Wilmington, DE",Wilmington,DE,State Department
WND,"Williston, ND (Int'l Airport)",Williston,ND,State Department
WPB,"West Palm Beach, FL",West Palm Beach,FL,State Department
WRA,"Wrangell, AK",Wrangell,AK,State Department
WRB,Whirlpool Bridge,Niagara Falls,NY,State Department
WRI,"MC GUIRE AFB - WRIGHTSOWN, NJ",WRIGHTSOWN,NJ,Udacity
WSB,"WARROAD INTL, SPB, MN",WARROAD,MN,Udacity
WTR,No PORT Code (WTR),,,Udacity
X44,No PORT Code (X44),,,Udacity
X96,No PORT Code (X96),,,Udacity
XNA,No PORT Code (XNA),,,Udacity
XXX,NOT REPORTED/UNKNOWN,,,Udacity
Y62,No PORT Code (Y62),,,Udacity
YAK,"Yakima, WA",Yakima,WA,State Department
YGF,No PORT Code (YGF),,,Udacity
YHC,"HAKAI PASS, CANADA",,,Udacity
YIP,"WILLOW RUN - YPSILANTI, MI",Ypsilanti,MI,Udacity
YOU,"Youngstown, NY",Youngstown,NY,State Department
YSL,"Ysleta, TX",Ysleta,TX,State Department
YUI,"Yuma, AZ",Yuma,AZ,State Department
YUM,"YUMA, AZ",YUMA,AZ,Udacity
YXE,"SASKATOON, CANADA",,,Udacity
ZZZ,MEXICO Land (Banco de Mexico),,,Udacity
